Station Name, Latitude, Longitude
SBS Kudus DC, -6.842129, 110.841848
Tegal 3 EDC, -6.851033, 109.107426
Jember 2 EDC, -8.212144, 113.68363
MH 2 Marang Kayu Hub, -0.1195, 117.431944
MH 1 Marang Kayu Hub, -0.1195, 117.431944
MH 1 Derawan Hub, 2.275139, 118.086139
MH 1 Sungai Pinang Kab. Banjar Hub, -3.195385, 115.253767
MH 2 Paringin Timur Hub, -2.338826, 115.476594
MH 1 Paringin Timur Hub, -2.338826, 115.476594
MH 2 Putussibau Selatan Hub, 0.845417, 112.922917
MH 1 Putussibau Selatan Hub, 0.845417, 112.922917
MH 2 Tanjung Jabung Barat Hub, -0.819707, 103.460449
IDBDL1 FBS, -5.4098, 105.306
Susukan 2 Hub, -6.644078, 108.395905
Regol 4 Hub, -6.950498, 107.615308
Pancoran 4 Hub, -6.255417, 106.844778
Bogor Utara EHub, -6.554798, 106.809259
Rungkut 2 Hub, -7.317865, 112.802703
Pebayuran Hub, -6.170745, 107.231284
Gunung Sugih Hub, -5.010247, 105.207579
Cikupa EHub, -6.228505, 106.52461
Gringsing First Mile Hub, -6.971364, 110.019359
Sindangkasih First Mile Hub, -7.298178, 108.232253
Sawoo First Mile Hub, -7.959218, 111.493931
Palu Timur First Mile Hub, -0.897293, 119.885778
Wonotunggal First Mile Hub, -6.958833, 109.743722
Weru Sukoharjo Hub, -7.773158, 110.763594
Way Jepara First Mile Hub, -5.174574, 105.695121
Watumalang First Mile Hub, -7.325008, 109.858283
Watulimo First Mile Hub, -8.210191, 111.727712
Watukumpul First Mile Hub, -7.152908, 109.433963
Warurejo First Mile Hub, -6.874333, 109.328833
Warungpring Hub, -7.073523, 109.264335
Warungpring First Mile Hub, -7.076271, 109.265973
Ungaran Timur 2 Hub, -7.130983, 110.39487
Ungaran Timur 2 First Mile Hub, -7.130983, 110.39487
Turen First Mile Hub, -8.186295, 112.700976
Trenggalek First Mile Hub, -8.073444, 111.701611
Tomo First Mile Hub, -6.764956, 108.127156
Todanan First Mile Hub, -6.939167, 111.181417
Tepus First Mile Hub, -8.125278, 110.641944
Tenggilis Mejoyo Hub, -7.325226, 112.744842
Tenggarong 2 Hub, -0.383833, 116.985667
Tempurejo First Mile Hub, -8.358945, 113.664348
Tempuling Hub, -0.497111, 102.936
Tempuling 2 Hub, -0.457722, 102.987556
Telukbetung Barat First Mile Hub, -5.46393, 105.246052
Tegallalang First Mile Hub, -8.531226, 115.271568
Tegallalang 2 First Mile Hub, -8.421206, 115.279687
Tegaldlimo First Mile Hub, -8.509, 114.278222
Tanjung Raja First Mile Hub, -3.347255, 104.772798
Tampak Siring First Mile Hub, -8.443353, 115.3089
Tambakromo Hub, -6.868412, 111.046603
Tambakromo First Mile Hub, -6.868412, 111.046603
Taman Pemalang 4 First Mile Hub, -6.920313, 109.392779
Taman Pemalang 3 Hub, -6.88575, 109.433722
Taman Pemalang 3 First Mile Hub, -6.88575, 109.433722
